,0
True,0.13606936169873785
True,0.06697928563202937
True,0.05340459284182575
True,0.07245947645161233
True,0.16910268435261788
True,0.12439165470692803
True,0.10717160222961475
True,0.1560100204235163
True,0.05908919970686266
True,0.12411860845649525
True,0.07502068117457295
True,0.053937743686547135
False,0.5886171948617764
True,0.05920692146930684
True,0.025378325352936493
True,0.060244258854932564
True,0.07126790026034213
False,0.42061812920331243
True,0.06144029696619158
True,0.10876467017087499
True,0.19285414385145316
True,0.09202108099135131
True,0.10335747071779366
True,0.06584392778662895
True,0.05017742761312782
True,0.1475214259704115
True,0.07837729476999711
True,0.12262474902650022
True,0.10199049699677587
True,0.10169495897632241
False,0.5944227191055289
True,0.09144512192410748
True,0.36799249548771384
True,0.04060075884372916
True,0.12323544606428183
True,0.08791002839524287
True,0.13427729701954894
True,0.0276868149620475
True,0.02138378593512058
True,0.04647217917245772
True,0.05706367895312703
True,0.04813173646723834
True,0.07399941919809261
False,0.5040535442437561
True,0.08862104590145159
True,0.3078851537262486
True,0.08334938095103905
True,0.08276473967300824
True,0.07273379300740301
True,0.10393210486201099
True,0.048382697749782655
True,0.09933518930991847
False,0.827279399231468
True,0.06333423603560584
True,0.040889141429316656
True,0.33368655044998174
True,0.11295109484185772
True,0.10245767404201744
True,0.0701623914160473
True,0.05254770645168849
True,0.05011156807605399
True,0.0754734343646759
True,0.05871172352373044
True,0.05750514217323155
False,0.6431020515484784
True,0.04766270827450081
True,0.058155868299898605
False,0.6401097804084224
True,0.1294200943297833
False,0.7170096888203787
True,0.12442902508842046
True,0.03654351691183144
True,0.06610554788222744
True,0.0771364794430961
True,0.10642669049082476
False,0.5835684917292183
False,0.5134896294966942
False,0.7676298793163647
True,0.03493336395180513
True,0.04291053632159292
True,0.33619810491519764
True,0.09005388999047503
True,0.06849526413271001
True,0.07195785193229487
False,0.5774517272538566
True,0.30771688102948724
False,0.7229950647886854
True,0.06088975384282891
True,0.16173847985419232
True,0.20127487642746644
True,0.06388022953395134
True,0.11180750566330566
True,0.05829273308246219
False,0.44647995853847344
True,0.1297520383006191
True,0.06530599073210075
True,0.09858777453852985
False,0.6348334284901791
True,0.09044981578787725
False,0.6355121391905856
